ID,heading lat lon height
1,192.971 39.86070034 116.1786763 70.39,
2,283.373 39.86050852 116.17842493 69.75,
3,281.465 39.86095292 116.1754079 70.38,
4,287.43 39.86102287 116.17497381 70.93,
5,338.298 39.86633453 116.17060838 74.6,
6,59.078 39.86654737 116.17064946 74.32,
7,53.169 39.86700935 116.17170384 73.97,
8,40.086 39.86725279 116.17204043 73.84,
9,12.117 39.87044061 116.17319143 72.47,
10,134.666 39.87057366 116.17341397 72.63,
11,124.121 39.86523455 116.17955895 71.29,
12,190.779 39.86495547 116.17974509 70.88,
13,191.191 39.86412207 116.17954196 71.21,
14,190.831 39.86346472 116.17938903 71.24,
15,191.326 39.86225376 116.17908689 71.14,
16,18.675 39.86217917 116.17919218 71.84,
17,11.773 39.86341958 116.17950811 71.98,
18,12.053 39.86403708 116.17965776 71.69,
19,13.413 39.86484323 116.17986077 72.46,
20,124.35 39.86494321 116.18008519 71.65,
21,119.209 39.86277757 116.18450415 70.03,
22,193.773 39.86249551 116.18467032 70.02,
23,190.493 39.86169323 116.18447398 70.7,
24,191.906 39.86120127 116.18435316 70.55,
25,230.888 39.85980383 116.18330975 69.13,
26,300.533 39.85974536 116.18289604 69.36,
27,281.63 39.8600351 116.18163802 69.64,
28,282.091 39.86012067 116.18105676 69.9,
29,282.619 39.86044448 116.17910285 70.4,
30,13.287 39.86068573 116.17886251 70.65,
31,11.413 39.86174457 116.17908609 71.29,
32,192.643 39.86186573 116.17898188 71.37,
