id(T),x(R),y(R),z(R),height_to_ground(R)
0,429790.414,4414715.605,66.105,6.8
1,429744.967,4414510.088,65.845,6.8
2,429748.483,4414509.124,65.848,6.8
3,429692.676,4414369.621,64.866,6.8
4,429400.530,4414423.751,66.099,6.8
5,429401.263,4414427.149,66.063,6.8
6,429161.803,4415118.824,69.028,6.8
7,429296.628,4415471.711,67.883,6.8
8,429817.534,4414849.470,66.426,6.8
9,429804.611,4414741.330,66.021,6.8
10,429814.223,4414850.086,66.288,6.8
11,429794.254,4414902.193,67.219,6.8
12,429299.219,4415474.186,67.915,6.8
13,429250.260,4415488.820,68.001,6.8
14,429159.228,4415121.359,69.125,6.8
15,429128.496,4415105.343,69.269,6.8
16,429021.372,4415009.423,69.413,6.8
17,429446.135,4414399.772,65.786,6.8
18,429446.985,4414403.243,65.743,6.8
19,429737.958,4414392.397,65.308,6.8
20,429771.301,4414555.223,66.171,6.8
21,429767.671,4414556.205,66.290,6.8
22,429787.083,4414716.203,66.124,6.8
23,429796.275,4414904.997,67.017,6.8
24,429807.916,4414740.397,65.919,6.8
25,429741.272,4414391.390,65.055,6.8
26,429693.580,4414373.074,64.645,6.8
27,429024.604,4415010.779,69.590,6.8
28,429253.566,4415488.028,68.116,6.8
29,429130.897,4415103.040,69.352,6.8
30,430276.545,4414583.605,65.151,6.8
31,430260.090,4414636.448,64.813,6.8
32,430256.724,4414637.320,64.861,6.8
33,430238.965,4414581.718,64.847,6.8
34,430235.528,4414582.671,64.641,6.8
35,430213.066,4414633.525,65.236,6.8
36,430211.269,4414630.483,65.244,6.8
37,430210.342,4414445.947,64.847,6.8
38,430207.012,4414446.400,64.723,6.8
39,430133.302,4414283.151,64.293,6.8
40,430135.501,4414280.445,63.972,6.8
41,429856.675,4414847.681,66.233,6.8
42,429858.772,4414850.476,66.153,6.8
43,430017.140,4414746.633,61.072,6.8
44,430016.762,4414746.306,61.075,6.8
45,430278.187,4414586.525,64.662,6.8
46,429754.078,4414332.645,64.535,6.8
47,429754.624,4414336.216,64.870,6.8
48,430085.480,4414274.007,63.952,6.8
49,430087.137,4414277.135,63.747,6.8
50,430107.999,4414241.793,63.486,
51,430105.856,4414239.415,63.439,
52,430061.668,4414235.322,64.217,
53,430059.602,4414238.173,64.103,
54,429837.849,4414911.606,66.499,
55,429841.311,4414910.914,66.445,
56,429710.093,4414317.909,65.322,
57,429706.540,4414318.696,65.261,
58,429230.997,4415546.164,68.164,
59,429233.383,4415548.707,68.069,
60,429276.343,4415546.064,68.205,
61,429279.699,4415544.780,68.042,
