id(T),xyz(T),lane_type(L),lane_color(L)
0,429768.529 4414604.459 59.696 429767.437 4414599.569 59.686 429766.444 4414594.653 59.682 429765.461 4414589.741 59.673 429764.459 4414584.843 59.653 429763.474 4414579.949 59.632 429762.474 4414575.041 59.622 429761.503 4414570.138 59.607 429760.510 4414565.284 59.589 429759.522 4414560.359 59.585 429758.520 4414555.447 59.570 429757.905 4414552.429 59.548 429757.881 4414552.213 59.658,2,
1,429746.072 4414512.097 59.267 429745.178 4414507.239 59.233 429744.274 4414502.892 59.213 429743.568 4414499.034 59.194 429742.460 4414494.127 59.160 429741.481 4414489.220 59.132 429740.489 4414484.338 59.102 429739.499 4414479.426 59.076 429738.510 4414474.518 59.046 429737.513 4414469.594 59.018 429736.520 4414464.699 58.983 429735.524 4414459.778 58.954 429734.535 4414454.909 58.927 429733.551 4414450.014 58.892 429732.557 4414445.120 58.862 429731.161 4414438.220 58.826 429731.143 4414438.115 58.824 429730.150 4414433.213 58.798 429729.159 4414428.314 58.771 429728.165 4414423.413 58.750 429727.176 4414418.528 58.726 429726.195 4414413.603 58.697 429725.208 4414408.727 58.665 429724.222 4414403.841 58.640 429723.216 4414398.944 58.618 429722.243 4414394.135 58.580 429721.262 4414389.258 58.565 429720.257 4414384.353 58.543 429719.326 4414379.837 58.516 429719.272 4414379.522 58.603,2,
2,429736.029 4414427.049 58.875 429735.056 4414422.151 58.842 429734.069 4414417.230 58.812 429733.076 4414412.329 58.786 429732.061 4414407.315 58.771 429731.091 4414402.445 58.736 429730.115 4414397.551 58.713 429729.141 4414392.698 58.660 429728.127 4414387.772 58.622 429727.155 4414382.903 58.635 429726.150 4414378.446 58.619 429726.072 4414378.131 58.599,2,
3,429732.534 4414427.306 58.818 429731.546 4414422.394 58.797 429730.553 4414417.486 58.767 429729.567 4414412.574 58.734 429728.580 4414407.677 58.712 429727.601 4414402.795 58.681 429726.615 4414397.906 58.667 429725.624 4414392.996 58.629 429724.623 4414388.124 58.611 429723.640 4414383.244 58.594 429722.879 4414379.541 58.587 429722.719 4414378.817 58.601,2,
4,429704.997 4414368.584 58.315 429704.035 4414368.804 58.326 429700.546 4414369.518 58.274 429695.653 4414370.505 58.205 429691.182 4414371.328 58.122 429651.124 4414379.553 58.161 429639.411 4414379.984 58.210 429634.423 4414380.133 58.255 429629.427 4414380.383 58.289 429624.623 4414381.278 58.315 429619.751 4414382.246 58.346 429614.854 4414383.221 58.365 429609.936 4414384.236 58.383 429605.015 4414385.225 58.415 429600.130 4414386.204 58.445 429595.228 4414387.189 58.465 429590.303 4414388.185 58.484 429582.279 4414389.824 58.527 429581.989 4414389.868 58.528 429577.121 4414390.859 58.559 429572.214 4414391.838 58.584 429567.319 4414392.827 58.611 429562.378 4414393.836 58.637 429557.458 4414394.811 58.657 429552.562 4414395.793 58.679 429547.681 4414396.781 58.705 429542.774 4414397.762 58.726 429537.857 4414398.754 58.749 429532.969 4414399.741 58.776 429528.082 4414400.717 58.796 429519.393 4414402.465 58.830 429519.036 4414402.545 58.828 429514.110 4414403.545 58.854 429509.243 4414404.527 58.882 429504.310 4414405.519 58.903 429499.430 4414406.507 58.925 429494.516 4414407.505 58.946 429489.626 4414408.500 58.960 429484.728 4414409.484 58.979 429479.828 4414410.482 58.998 429474.934 4414411.475 59.025 429470.034 4414412.475 59.059 429465.116 4414413.472 59.073 429460.223 4414414.462 59.069 429455.350 4414415.470 59.088 429453.666 4414415.832 59.097 429453.245 4414415.885 59.116 429448.344 4414416.869 59.153 429443.481 4414417.843 59.175 429438.552 4414418.833 59.197 429434.933 4414419.813 59.230 429434.650 4414419.888 59.245,2,
5,429473.906 4414408.073 59.099 429469.000 4414409.065 59.125 429464.105 4414410.065 59.126 429459.248 4414411.057 59.125 429453.136 4414412.308 59.155 429452.672 4414412.393 59.168 429447.774 4414413.390 59.201 429442.910 4414414.391 59.221 429438.046 4414415.374 59.240 429435.001 4414416.012 59.266,2,
6,429406.788 4414425.690 59.353 429404.755 4414425.953 59.378 429399.252 4414427.655 59.396 429394.489 4414429.222 59.435 429389.748 4414430.855 59.453 429385.019 4414432.528 59.472 429380.354 4414434.311 59.485 429375.698 4414436.191 59.500 429371.102 4414438.150 59.523 429366.547 4414440.203 59.546 429362.005 4414442.365 59.563 429357.532 4414444.564 59.583 429353.189 4414446.818 59.596 429348.795 4414449.308 59.618 429344.426 4414451.836 59.639 429340.204 4414454.422 59.655 429337.764 4414455.946 59.665 429337.421 4414456.213 59.674 429333.232 4414458.928 59.700 429329.082 4414461.756 59.733 429324.994 4414464.654 59.757 429321.021 4414467.641 59.784 429317.084 4414470.750 59.809 429313.231 4414473.897 59.833 429309.432 4414477.142 59.864 429305.667 4414480.502 59.883 429301.997 4414483.903 59.908 429298.416 4414487.384 59.937 429294.902 4414490.915 59.962 429291.436 4414494.527 59.987 429287.150 4414499.165 60.016 429286.767 4414499.666 60.016 429283.489 4414503.490 60.042 429280.339 4414507.361 60.063 429277.262 4414511.308 60.086 429274.232 4414515.277 60.112 429271.276 4414519.309 60.134 429268.398 4414523.380 60.163 429265.555 4414527.525 60.196 429262.769 4414531.664 60.217 429259.973 4414535.823 60.245 429257.174 4414539.973 60.273 429254.381 4414544.128 60.295 429251.577 4414548.302 60.316 429246.783 4414555.405 60.349 429246.609 4414555.647 60.352 429243.813 4414559.810 60.367 429241.014 4414563.981 60.383 429238.182 4414568.159 60.403 429235.402 4414572.272 60.423 429232.635 4414576.385 60.446 429229.822 4414580.521 60.469 429227.023 4414584.668 60.490 429224.231 4414588.801 60.514 429221.403 4414592.944 60.541 429218.622 4414597.084 60.564 429215.825 4414601.204 60.586 429213.026 4414605.336 60.609 429210.224 4414609.489 60.629 429205.843 4414616.000 60.668 429205.604 4414616.330 60.676 429202.820 4414620.490 60.696 429200.014 4414624.636 60.718 429197.213 4414628.765 60.743 429194.416 4414632.902 60.768 429191.617 4414637.040 60.793 429188.814 4414641.183 60.809 429185.994 4414645.354 60.835 429183.203 4414649.497 60.861 429180.379 4414653.669 60.888 429177.595 4414657.790 60.906 429174.790 4414661.951 60.926 429171.983 4414666.099 60.944 429167.290 4414673.019 60.986 429167.218 4414673.159 60.985 429164.405 4414677.324 61.013 429161.600 4414681.487 61.037 429158.775 4414685.663 61.058 429155.957 4414689.795 61.079 429153.154 4414693.964 61.096 429150.356 4414698.076 61.119 429147.588 4414702.202 61.148 429144.784 4414706.343 61.166 429141.970 4414710.515 61.184 429139.136 4414714.716 61.198 429136.352 4414718.851 61.226 429133.558 4414722.987 61.263 429130.751 4414727.132 61.291 429128.043 4414731.148 61.318 429127.738 4414731.579 61.320 429124.950 4414735.722 61.344 429122.137 4414739.882 61.370 429119.335 4414744.020 61.393 429116.544 4414748.167 61.412 429113.772 4414752.273 61.436 429110.984 4414756.395 61.457 429108.202 4414760.520 61.477 429105.442 4414764.645 61.505 429102.687 4414768.876 61.532 429100.029 4414773.141 61.549 429097.515 4414777.491 61.564 429095.172 4414781.901 61.601 429093.405 4414785.349 61.630 429093.084 4414786.163 61.633 429090.901 4414790.681 61.661 429088.779 4414795.201 61.684 429086.720 4414799.726 61.701 429084.691 4414804.292 61.715 429082.724 4414808.889 61.735 429080.891 4414813.536 61.764 429079.214 4414818.250 61.789 429077.691 4414823.024 61.813 429076.266 4414827.824 61.848 429074.925 4414832.632 61.883 429073.702 4414837.468 61.909 429072.578 4414842.379 61.933 429071.580 4414847.273 61.953 429070.960 4414850.432 61.966 429070.929 4414850.875 61.964 429070.124 4414855.817 61.990 429069.421 4414860.740 62.019 429068.835 4414865.722 62.041 429068.337 4414870.685 62.056 429067.858 4414875.652 62.074 429067.387 4414880.657 62.096 429066.939 4414885.624 62.123 429066.496 4414890.625 62.147 429066.036 4414895.603 62.167 429065.581 4414900.606 62.185 429065.106 4414905.569 62.207 429064.618 4414910.545 62.226 429064.091 4414915.510 62.240 429063.423 4414921.597 62.264 429063.382 4414921.941 62.267 429062.835 4414926.895 62.294 429062.293 4414931.864 62.322 429061.733 4414936.807 62.342 429061.139 4414941.735 62.354 429060.892 4414943.457 62.360 429059.465 4414955.450 62.397 429057.145 4414964.777 62.456 429055.894 4414969.638 62.466 429054.541 4414974.437 62.490 429054.352 4414975.061 62.494 429054.230 4414975.484 62.496 429052.741 4414980.256 62.517 429051.211 4414985.017 62.549 429049.620 4414989.782 62.572 429047.971 4414994.507 62.596 429046.254 4414999.195 62.616 429044.486 4415003.875 62.646 429042.598 4415008.548 62.659 429040.667 4415013.184 62.660 429038.719 4415017.836 62.686 429037.457 4415020.809 62.703 429036.004 4415024.149 62.735 429035.914 4415024.359 62.730,2,
7,429044.758 4414985.217 62.643 429043.157 4414989.919 62.669 429041.490 4414994.618 62.689 429039.750 4414999.275 62.706 429037.915 4415003.923 62.728 429036.019 4415008.547 62.745 429034.073 4415013.175 62.767 429032.101 4415017.768 62.782 429030.683 4415021.091 62.800 429030.522 4415021.477 62.778,2,
8,429042.835 4415040.833 62.691 429047.325 4415043.108 62.690 429051.765 4415045.310 62.670 429056.200 4415047.565 62.636 429060.985 4415049.966 62.604 429061.567 4415050.267 62.602 429066.067 4415052.510 62.570 429070.511 4415054.738 62.541 429074.926 4415056.969 62.511 429079.113 4415059.070 62.486 429080.758 4415059.923 62.483 429081.805 4415060.432 62.481 429086.268 4415062.654 62.454 429090.710 4415064.871 62.404 429095.170 4415067.130 62.420 429099.609 4415069.386 62.367 429104.020 4415071.709 62.332 429108.388 4415074.137 62.313 429112.773 4415076.616 62.306 429117.080 4415079.215 62.275 429121.222 4415081.892 62.249 429125.303 4415084.788 62.234 429129.428 4415087.773 62.206 429133.406 4415090.742 62.182 429137.439 4415093.870 62.150 429137.741 4415094.174 62.144,2,
9,429160.681 4415115.386 62.013 429161.143 4415116.467 62.017 429162.252 4415117.943 62.005 429170.439 4415127.727 61.931 429173.191 4415131.499 61.907 429174.739 4415133.577 61.885 429179.225 4415140.112 61.846 429181.999 4415144.422 61.814 429184.550 4415148.707 61.773 429187.080 4415153.079 61.746 429188.337 4415155.392 61.735 429190.042 4415158.579 61.722 429192.401 4415163.025 61.713 429194.585 4415167.492 61.702 429196.611 4415171.931 61.688 429198.633 4415176.609 61.624 429200.473 4415181.205 61.544 429202.191 4415185.954 61.480 429203.774 4415190.681 61.439 429205.211 4415195.456 61.523 429206.507 4415200.315 61.551 429207.662 4415205.199 61.520 429208.786 4415210.099 61.504 429209.817 4415214.963 61.489 429210.815 4415219.932 61.459 429211.855 4415224.897 61.441 429212.838 4415229.860 61.420 429213.862 4415234.733 61.401 429214.829 4415239.668 61.384 429215.806 4415244.441 61.365 429216.877 4415249.726 61.342 429217.052 4415250.562 61.336 429218.045 4415255.319 61.311 429218.227 4415256.001 61.306 429228.282 4415305.711 61.129 429229.168 4415310.656 61.133 429230.213 4415315.593 61.110 429231.189 4415320.464 61.094 429232.170 4415325.392 61.075 429233.188 4415330.317 61.061 429234.181 4415335.226 61.046 429234.723 4415337.828 61.039 429234.750 4415337.999 61.041 429235.724 4415342.854 61.023 429236.709 4415347.718 61.002 429237.699 4415352.664 61.006 429238.685 4415357.550 60.996 429239.659 4415362.444 60.973 429240.643 4415367.358 60.957 429241.652 4415372.262 60.938 429242.630 4415377.124 60.922 429243.617 4415382.015 60.910 429244.610 4415386.924 60.897 429245.587 4415391.819 60.887 429246.576 4415396.718 60.878 429247.560 4415401.612 60.869 429248.566 4415406.508 60.861 429249.573 4415411.432 60.857 429250.780 4415416.283 60.852 429252.150 4415421.075 60.847 429252.742 4415423.075 60.844 429252.885 4415423.321 60.842 429254.279 4415428.118 60.840 429255.594 4415432.930 60.843 429256.754 4415437.744 60.850 429257.793 4415442.615 60.849 429258.785 4415447.503 60.859 429259.771 4415452.397 60.870 429260.764 4415457.289 60.891 429261.754 4415462.189 60.918 429262.741 4415467.038 60.937 429263.500 4415470.880 60.954 429264.415 4415474.854 60.985 429264.923 4415476.149 60.996 429265.459 4415476.945 61.000,2,
